Annotation Cluster 1	Enrichment Score: 68.76479813108197
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-72203~Processing of Capped Intron-Containing Pre-mRNA	218	7.9562043795620445	4.178273065970843E-102	Q16629, Q9BY77, Q7RTV0, O75940, P67809, P35658, P13984, P52434, Q9UBB9, Q01130, P52435, O00148, Q9NZ63, P33240, Q9BW27, Q16630, P09012, Q13243, Q9UK45, Q13123, Q00839, Q9NRG9, Q92733, Q8WUM0, O94906, Q9H2H8, O15514, Q13242, P38919, Q13247, O75934, P30876, Q15428, Q15427, O43447, O75494, P62487, Q6UX04, Q9UKV3, O75937, Q14103, P35637, Q9UKF6, O60306, P42285, Q8NFH3, Q96NC0, P09234, Q8NFH4, Q9UBU9, Q8N684, P26599, Q8NFH5, Q12972, O43660, P31943, Q8IWX8, Q9HCG8, P55735, P36954, Q99459, Q5SRE5, P26368, P61978, Q9UKX7, Q15459, O15042, Q53GS7, Q13838, O95232, Q2TAY7, P52756, P62310, Q8IYB3, P62316, P84103, P62318, Q14498, P62312, Q8WUQ7, P62314, Q10570, Q12874, Q09161, Q12996, O75694, P38159, P37198, P11142, O95926, Q9BZL1, P98175, Q96BP3, Q9Y4Y9, O60508, Q12769, Q96EE3, Q9BUQ8, Q9Y4Z0, Q15366, Q15365, P08621, P82979, Q08170, P14866, Q7L014, Q92621, Q9Y2W2, Q92620, O15504, Q9BZJ0, O14776, Q9Y3Y2, O43395, P52272, Q86V81, O95391, P14678, Q9NW82, O00422, Q96DI7, Q8WWY3, O15234, P09651, P62995, P62875, Q96HA1, P07910, Q13523, P51991, Q15029, Q8WUD4, P55795, Q01081, O75533, Q96I25, P22626, P24928, Q9Y3B4, Q99633, Q9BWJ5, P12270, Q9UHX1, O43290, Q9C0J8, P09661, Q15393, O43172, P08579, P52298, Q86U42, O75643, Q9H307, P57740, O75400, O60828, Q9Y3C6, Q8TBF4, P49756, Q92797, Q6UN15, Q15287, O43143, Q9UMS4, Q13427, Q8IX12, Q8NAV1, Q9Y333, Q8N1F7, P41223, Q07955, Q7Z3B4, Q9Y580, P62306, P62308, Q9ULR0, P62304, O43390, P52597, Q13435, Q9UJV9, Q9UQ35, Q8WYA6, Q9P013, Q99567, Q96A72, P19387, Q86XP3, P19388, O43809, Q05519, Q9BXP5, Q9BVL2, Q6P2Q9, Q13573, P55081, Q92917, Q15637, O95777, Q9BTX1, Q9UNP9, P55769, P78406, Q9Y5S9, Q9NW64, P17844, P49792, P49790, P35269, Q96QD9, Q08211, O75152, Q9P2I0, P52948, Q9HCS7, Q14562, Q14320	2077	285	11153	4.107398491413899	8.064067017323727E-99	2.6894150967965656E-99	1.8969359719507627E-99
REACTOME_PATHWAY	R-HSA-72163~mRNA Splicing - Major Pathway	169	6.167883211678832	9.52771350845651E-87	O43395, Q16629, Q7RTV0, P67809, O75940, P52272, Q86V81, O95391, P14678, Q9NW82, O00422, P13984, P52434, Q01130, P52435, Q9UBB9, Q9NZ63, Q96DI7, Q8WWY3, O15234, P09012, P09651, Q13243, Q9UK45, P62995, Q13123, P62875, Q00839, Q92733, O15514, O94906, Q9H2H8, Q13242, Q13247, P38919, P51991, P07910, Q13523, Q15029, O75934, P30876, Q8WUD4, P55795, Q01081, O75533, Q15428, Q15427, O43447, Q96I25, O75494, P24928, P22626, Q9Y3B4, P62487, Q99633, Q9BWJ5, Q6UX04, Q9UHX1, O43290, Q9UKV3, P09661, Q15393, O43172, P08579, O75937, P52298, Q14103, P35637, O75643, Q9H307, O75400, O60828, O60306, Q9Y3C6, P42285, P49756, Q96NC0, P09234, P26599, Q15287, Q12972, O43143, O43660, Q9UMS4, P31943, Q8IWX8, Q13427, Q8IX12, Q8NAV1, Q9Y333, Q9HCG8, P36954, P41223, Q99459, Q07955, Q9Y580, P62306, P62308, P26368, P61978, Q9ULR0, P62304, O43390, Q15459, P52597, Q13435, O15042, Q9UJV9, Q9UQ35, Q8WYA6, Q13838, Q9P013, O95232, Q2TAY7, P52756, P62310, Q8IYB3, P62316, P84103, P62318, Q96A72, Q14498, P62312, Q8WUQ7, P62314, Q12874, Q09161, P19387, P19388, Q86XP3, P38159, Q05519, P11142, Q9BXP5, O95926, Q6P2Q9, Q13573, P55081, Q9BZL1, P98175, Q96BP3, Q92917, Q9Y4Y9, Q15637, O95777, Q9UNP9, O60508, P55769, Q9NW64, Q9Y5S9, P17844, Q9BUQ8, Q9Y4Z0, Q15366, Q15365, P08621, Q08170, P35269, P14866, Q08211, Q7L014, Q9Y2W2, Q92620, Q9HCS7, Q9BZJ0, O14776, Q14562, Q14320	2077	207	11153	4.384010289831814	1.8388487071321063E-83	2.628287826404217E-84	1.853820828359681E-84
REACTOME_PATHWAY	R-HSA-72172~mRNA Splicing	170	6.204379562043796	3.81539464606544E-83	O43395, Q16629, Q7RTV0, P67809, O75940, P52272, Q86V81, O95391, P14678, Q9NW82, O00422, P13984, P52434, Q01130, P52435, Q9UBB9, Q9NZ63, Q96DI7, Q8WWY3, O15234, P09012, P09651, Q13243, Q9UK45, P62995, Q13123, P62875, Q00839, Q92733, O15514, O94906, Q9H2H8, Q13242, Q13247, P38919, P51991, P07910, Q13523, Q15029, O75934, P30876, Q8WUD4, P55795, Q01081, O75533, Q15428, Q15427, O43447, Q96I25, O75494, P24928, P22626, Q9Y3B4, P62487, Q99633, Q9BWJ5, Q6UX04, Q9UHX1, O43290, Q9UKV3, P09661, Q15393, O43172, P08579, O75937, P52298, Q14103, P35637, O75643, Q9H307, O75400, O60828, O60306, Q9Y3C6, P42285, Q8TBF4, P49756, Q96NC0, P09234, P26599, Q15287, Q12972, O43143, O43660, Q9UMS4, P31943, Q8IWX8, Q13427, Q8IX12, Q8NAV1, Q9Y333, Q9HCG8, P36954, P41223, Q99459, Q07955, Q9Y580, P62306, P62308, P26368, P61978, Q9ULR0, P62304, O43390, Q15459, P52597, Q13435, O15042, Q9UJV9, Q9UQ35, Q8WYA6, Q13838, Q9P013, O95232, Q2TAY7, P52756, P62310, Q8IYB3, P62316, P84103, P62318, Q96A72, Q14498, P62312, Q8WUQ7, P62314, Q12874, Q09161, P19387, P19388, Q86XP3, P38159, Q05519, P11142, Q9BXP5, O95926, Q6P2Q9, Q13573, P55081, Q9BZL1, P98175, Q96BP3, Q92917, Q9Y4Y9, Q15637, O95777, Q9UNP9, O60508, P55769, Q9NW64, Q9Y5S9, P17844, Q9BUQ8, Q9Y4Z0, Q15366, Q15365, P08621, Q08170, P35269, P14866, Q08211, Q7L014, Q9Y2W2, Q92620, Q9HCS7, Q9BZJ0, O14776, Q14562, Q14320	2077	215	11153	4.2458599724558	7.3637116669063E-80	6.697751874138514E-81	4.724152279946481E-81
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	141	5.145985401459853	7.942799548329837E-77	O43395, Q16629, Q7RTV0, P52272, O95391, P14678, Q01130, Q9UBB9, O00148, Q9NZ63, Q96DI7, Q9NX24, Q8WWY3, Q15020, O15234, Q6NZY4, P09012, P09651, Q13243, Q9UK45, P62995, Q9Y4C8, Q13123, Q00839, Q14331, O94906, Q9H2H8, Q13247, P38919, P51991, P07910, Q13523, Q15029, O75934, Q01081, O75533, Q15428, Q15427, Q9UKM9, O43447, O75494, P51513, P22626, Q9Y3B4, Q9BWJ5, Q6UX04, O43290, P09661, Q15393, O43172, P08579, P52298, O75643, Q9H307, P11940, O75400, O60306, Q9Y3C6, P42285, Q8TBF4, Q96NC0, P09234, Q15287, P31942, O43143, O43660, Q9UMS4, P31943, Q8NAV1, Q9Y333, Q9HCG8, P41223, Q99459, Q07955, P62306, P62308, P26368, P61978, Q96DF8, Q9ULR0, P62304, O43390, Q15459, P52597, Q13435, Q9UJV9, Q9UQ35, Q8WYA6, Q13838, Q9P013, Q2TAY7, P52756, P62310, Q8IYB3, P62316, P84103, P62318, Q96A72, P62312, Q8WUQ7, P62314, Q9UNW9, Q12874, Q09161, P38159, Q9BWF3, P11142, O95926, Q6P2Q9, Q13573, P55081, Q9BZL1, P98175, Q96BP3, Q92917, Q9Y4Y9, Q15637, O95777, Q8TEQ6, Q9UNP9, O60508, O60506, P55769, Q9NW64, Q9Y5S9, P17844, Q96MU7, Q96PK6, Q9BUQ8, Q9Y4Z0, P08621, Q9BQ04, Q08170, Q7L014, Q92620, Q9HCS7, Q9BZJ0, Q13595, Q14562	2654	196	19416	5.262860833858788	4.5115101434513476E-73	2.2557550717256738E-73	2.1608386171231322E-73
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	82	2.9927007299270074	2.077281286432983E-56	Q15459, Q13435, P52597, Q9UJV9, Q9UQ35, P52272, Q86V81, Q9P013, O95391, P14678, Q12905, Q9UBB9, Q96DI7, P62310, Q8IYB3, P62316, Q6NZY4, P62318, Q96A72, P09651, Q9UK45, Q8WUQ7, Q14331, P62314, Q00839, Q9H2H8, O94906, P38919, P51991, Q13523, P07910, Q12874, Q15029, O75934, Q01081, O75533, Q15428, Q9UKM9, P38159, Q9Y3B4, P22626, Q6UX04, O43290, O95926, Q6P2Q9, P09661, Q15393, Q13573, P08579, Q96BP3, O75643, Q9H307, P11940, Q9UNP9, O60508, O60506, O60306, Q9NW64, Q9Y5S9, Q9Y3C6, P17844, P42285, Q9BUQ8, O43660, Q9UMS4, P31943, Q9Y333, Q9HCG8, Q99459, Q07955, Q92620, P62306, Q9HCS7, P62308, P61978, Q9BZJ0, Q96DF8, Q9ULR0, Q14562, P62304, O43390	2712	96	20666	6.508926376597837	2.43041910512659E-53	2.0253492542721584E-54	1.6064308615081734E-54
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	95	3.4671532846715327	4.680538545731578E-50	Q15459, Q9BZZ5, Q13435, P52597, O43395, Q9UJV9, Q7RTV0, O75940, P52272, Q96E39, Q8WYA6, Q13838, Q9P013, O95391, P14678, P52756, Q01130, Q9UBB9, Q9NZ63, Q8WWY3, Q8IYB3, P62316, P09012, P62318, Q96A72, P09651, Q8WUQ7, P62995, P62314, Q14011, Q9H2H8, O94906, P38919, P07910, P54105, Q12874, O75934, Q01081, O75533, Q15428, Q15427, O43447, Q96I25, O75494, P38159, P19338, Q9Y3B4, P22626, P11142, Q9NW13, Q99633, Q9BWJ5, Q6P2Q9, P09661, Q15393, Q13573, O43172, P08579, Q96BP3, P98179, Q92917, Q9Y4Y9, O75643, Q15637, O95777, Q02040, P55769, Q9Y5S9, Q96NC0, P09234, Q9Y4Z0, Q9UNY4, P08621, Q12972, P31942, O43143, O43660, Q9UMS4, Q9HCG8, Q7L014, O14979, P41223, Q99459, P17931, Q9Y2W2, Q92620, P62306, P62308, P26368, P61978, Q9BZJ0, Q13595, Q14562, P62304, O43390	2712	139	20666	5.208054795101972	5.476230098505946E-47	3.6508200656706304E-48	2.895693180292603E-48
KEGG_PATHWAY	hsa03040:Spliceosome	114	4.160583941605839	3.776794631356583E-31	O43395, Q16629, Q7RTV0, O75940, P52272, Q86V81, O95391, P14678, Q01130, Q96DI7, Q8WWY3, P09012, P09651, Q13243, Q9UK45, P62995, Q00839, O94906, Q13242, Q13247, P38919, P51991, P07910, Q15029, O75934, Q8WUD4, Q01081, O75533, Q15428, Q15427, O43447, Q96I25, O75494, Q9Y3B4, Q99633, Q9BWJ5, Q9UHX1, O43290, Q9UKV3, P09661, Q15393, O43172, P08579, P52298, P35637, O75643, O75400, O60828, O60306, Q9Y3C6, P49756, Q96NC0, P09234, O43143, O43660, Q9UMS4, Q8IWX8, Q8NAV1, Q9Y333, P41223, Q99459, Q07955, P62306, P62308, P26368, P61978, Q9ULR0, P62304, Q15459, Q13435, O15042, P0DMV9, Q8WYA6, Q13838, Q9P013, P62310, P62316, P84103, P62318, Q96A72, P62312, P62314, Q12874, Q09161, Q86XP3, P38159, P11142, O95926, Q6P2Q9, Q13573, Q9Y4Y9, O95777, Q9UNP9, O60508, P55769, Q9NW64, Q9Y5S9, P17844, Q9BUQ8, Q9Y4Z0, Q15365, P08621, Q08170, Q7L014, P17066, Q9Y2W2, Q92620, Q9HCS7, Q9BZJ0, O14776, Q13595, Q14562	1583	217	8865	2.9420018572913236	1.2992173531866646E-28	2.598434706373329E-29	2.047022690195268E-29

Annotation Cluster 2	Enrichment Score: 55.831719107626995
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
